"Year","stress.unadj","stress.rounded"
"2014",0.0327077136578308,0.033
"2015",0.0286471875337819,0.029
"2016",4.4808338624791e-05,0
"2017",0.0646025233082197,0.065
"2018",6.47883392615696e-05,0
