"Composite.Variable","Year","Herbicide.Treatment","Site","Patch","BFLY.Common.Name","Number"
"2017-Spr","2017","Spr","LTR","LTR-C","common buckeye",4
"2015-SnS","2015","SnS","LTR","LTR-E","common buckeye",1
"2016-SnS","2016","SnS","LTR","LTR-E","common buckeye",5
"2017-SnS","2017","SnS","LTR","LTR-E","common buckeye",2
"2016-Con","2016","Con","LTR","LTR-W","common buckeye",1
"2017-Con","2017","Con","LTR","LTR-W","common buckeye",1
"2017-Spr","2017","Spr","PYW","PYW-C","common buckeye",4
"2016-Con","2016","Con","PYW","PYW-S","common buckeye",1
"2017-Con","2017","Con","PYW","PYW-S","common buckeye",4
"2014-SnS","2014","SnS","GIL","GIL-C","common wood nymph",15
"2016-SnS","2016","SnS","GIL","GIL-C","common wood nymph",3
"2014-Spr","2014","Spr","GIL","GIL-N","common wood nymph",1
"2015-Spr","2015","Spr","GIL","GIL-N","common wood nymph",1
"2016-Spr","2016","Spr","GIL","GIL-N","common wood nymph",2
"2014-Con","2014","Con","GIL","GIL-S","common wood nymph",4
"2015-Con","2015","Con","GIL","GIL-S","common wood nymph",2
"2016-Con","2016","Con","GIL","GIL-S","common wood nymph",1
"2016-Spr","2016","Spr","LTR","LTR-C","common wood nymph",1
"2017-Spr","2017","Spr","LTR","LTR-C","common wood nymph",2
"2016-SnS","2016","SnS","LTR","LTR-E","common wood nymph",1
"2015-Con","2015","Con","LTR","LTR-W","common wood nymph",5
"2016-Con","2016","Con","LTR","LTR-W","common wood nymph",3
"2017-Con","2017","Con","LTR","LTR-W","common wood nymph",1
"2014-Spr","2014","Spr","PYW","PYW-C","common wood nymph",1
"2017-Spr","2017","Spr","PYW","PYW-C","common wood nymph",7
"2014-SnS","2014","SnS","PYW","PYW-N","common wood nymph",1
"2016-SnS","2016","SnS","PYW","PYW-N","common wood nymph",1
"2016-Con","2016","Con","PYW","PYW-S","common wood nymph",1
"2017-Con","2017","Con","PYW","PYW-S","common wood nymph",3
"2015-Con","2015","Con","GIL","GIL-S","coral hairstreak",1
"2016-SnS","2016","SnS","GIL","GIL-C","delaware skipper",1
"2017-Spr","2017","Spr","LTR","LTR-C","delaware skipper",1
"2016-Con","2016","Con","GIL","GIL-S","dun skipper",1
"2015-SnS","2015","SnS","GIL","GIL-C","eastern comma",1
"2017-Spr","2017","Spr","PYW","PYW-C","eastern comma",1
"2014-SnS","2014","SnS","GIL","GIL-C","eastern tailed blue",13
"2015-SnS","2015","SnS","GIL","GIL-C","eastern tailed blue",2
"2016-SnS","2016","SnS","GIL","GIL-C","eastern tailed blue",25
"2017-SnS","2017","SnS","GIL","GIL-C","eastern tailed blue",16
"2014-Spr","2014","Spr","GIL","GIL-N","eastern tailed blue",17
"2016-Spr","2016","Spr","GIL","GIL-N","eastern tailed blue",24
"2017-Spr","2017","Spr","GIL","GIL-N","eastern tailed blue",37
"2014-Con","2014","Con","GIL","GIL-S","eastern tailed blue",14
"2015-Con","2015","Con","GIL","GIL-S","eastern tailed blue",2
"2016-Con","2016","Con","GIL","GIL-S","eastern tailed blue",2
"2017-Con","2017","Con","GIL","GIL-S","eastern tailed blue",8
"2014-Spr","2014","Spr","LTR","LTR-C","eastern tailed blue",4
"2015-Spr","2015","Spr","LTR","LTR-C","eastern tailed blue",1
"2016-Spr","2016","Spr","LTR","LTR-C","eastern tailed blue",12
"2017-Spr","2017","Spr","LTR","LTR-C","eastern tailed blue",5
"2014-SnS","2014","SnS","LTR","LTR-E","eastern tailed blue",9
"2015-SnS","2015","SnS","LTR","LTR-E","eastern tailed blue",3
"2016-SnS","2016","SnS","LTR","LTR-E","eastern tailed blue",6
"2017-SnS","2017","SnS","LTR","LTR-E","eastern tailed blue",7
"2014-Con","2014","Con","LTR","LTR-W","eastern tailed blue",50
"2016-Con","2016","Con","LTR","LTR-W","eastern tailed blue",2
"2017-Con","2017","Con","LTR","LTR-W","eastern tailed blue",2
"2014-Spr","2014","Spr","PYW","PYW-C","eastern tailed blue",21
"2015-Spr","2015","Spr","PYW","PYW-C","eastern tailed blue",1
"2016-Spr","2016","Spr","PYW","PYW-C","eastern tailed blue",16
"2017-Spr","2017","Spr","PYW","PYW-C","eastern tailed blue",4
"2014-SnS","2014","SnS","PYW","PYW-N","eastern tailed blue",79
"2015-SnS","2015","SnS","PYW","PYW-N","eastern tailed blue",1
"2016-SnS","2016","SnS","PYW","PYW-N","eastern tailed blue",15
"2017-SnS","2017","SnS","PYW","PYW-N","eastern tailed blue",2
"2014-Con","2014","Con","PYW","PYW-S","eastern tailed blue",44
"2015-Con","2015","Con","PYW","PYW-S","eastern tailed blue",3
"2016-Con","2016","Con","PYW","PYW-S","eastern tailed blue",13
"2017-Con","2017","Con","PYW","PYW-S","eastern tailed blue",24
"2016-SnS","2016","SnS","GIL","GIL-C","eastern tiger swallowtail",1
"2014-Spr","2014","Spr","GIL","GIL-N","eastern tiger swallowtail",1
"2014-Con","2014","Con","GIL","GIL-S","eastern tiger swallowtail",1
"2014-Spr","2014","Spr","LTR","LTR-C","eastern tiger swallowtail",1
"2017-Spr","2017","Spr","LTR","LTR-C","eastern tiger swallowtail",1
"2014-Con","2014","Con","LTR","LTR-W","eastern tiger swallowtail",1
"2017-Con","2017","Con","LTR","LTR-W","eastern tiger swallowtail",1
"2014-Spr","2014","Spr","PYW","PYW-C","eastern tiger swallowtail",1
"2014-SnS","2014","SnS","PYW","PYW-N","eastern tiger swallowtail",1
"2014-Con","2014","Con","PYW","PYW-S","eastern tiger swallowtail",2
"2015-SnS","2015","SnS","PYW","PYW-N","european skipper",1
"2016-SnS","2016","SnS","GIL","GIL-C","giant swallowtail",1
"2016-Spr","2016","Spr","GIL","GIL-N","giant swallowtail",2
"2017-Spr","2017","Spr","LTR","LTR-C","giant swallowtail",1
"2016-SnS","2016","SnS","PYW","PYW-N","giant swallowtail",2
"2015-Con","2015","Con","PYW","PYW-S","giant swallowtail",1
"2016-Spr","2016","Spr","GIL","GIL-N","gorgone checkerspot",1
"2014-SnS","2014","SnS","GIL","GIL-C","gray copper",1
