Pasture,Patch,Whitaker,UTM X,UTM Y,UTM Zone
PYW,PYW-C,1,0400479,4492643,15
PYN,PYN-N,1,0400817,4492894,15
PYS,PYS-N,1,0400921,4492442,15
PAW,PAW-S,1,0403145,4485995,15
LTR,LTR-C,1,0403603,4492651,15
RIS,RIS-C,1,0403809,4494179,15
RIN,RIN-S,1,0403827,4495058,15
RC2,RC2-C,1,0404348,4496704,15
GIL,GIL-C,1,0404947,4493220,15
STE,STE-N,1,0405810,4493814,15
DUN,DUN-C,1,0406453,4484264,15
KLT,KLT-S,1,0406582,4502939,15
KLN,KLN-C,1,0407546,4505223,15
BSH,BSH-C,1,0410429,4504990,15
